-90.0	[1.8892534625325126, 0.1278768793069113]
-72.0	[1.9433593327415395, 0.14310240880108013]
-54.0	[1.877063627888281, 0.16808533034687048]
-36.0	[1.9304218157391348, 0.12794655567664903]
-18.0	[1.874915902999273, 0.12832366909779033]
0.0	[1.894630737134207, 0.1019527508248256]
18.0	[1.9151686944238795, 0.1650872054242194]
36.0	[1.9390401277190816, 0.17276046130665906]
54.0	[1.9077018781702364, 0.1738290246446687]
72.0	[1.8822470424944293, 0.09032556852424987]
90.0	[1.9210534438389022, 0.2109910418673158]
