-90.0	[1.9305977543773534, 0.1935487844230668]
-72.0	[1.9062992357291544, 0.09496298347450932]
-54.0	[1.952588292555337, 0.18784731005890198]
-36.0	[1.927850129146829, 0.11615471502447076]
-18.0	[1.9118163578073577, 0.18706805064922458]
0.0	[1.918926792091338, 0.10685103075581143]
18.0	[1.9592242196862628, 0.16968804654992395]
36.0	[1.9190678238359211, 0.12803667660730644]
54.0	[1.9252906726200465, 0.15526929375510093]
72.0	[1.9100100547733865, 0.12403132237294798]
90.0	[1.9668344850067134, 0.18685974959447083]
