-90.0	[1.9183136141660537, 0.17919263757888493]
-72.0	[1.9210434494740978, 0.10778634022698629]
-54.0	[1.9277003178290213, 0.16462985143264897]
-36.0	[1.922888429447585, 0.09022318998069129]
-18.0	[1.8905937002822801, 0.139308421620715]
0.0	[1.9232587253554592, 0.12508494779607615]
18.0	[1.9338795586257538, 0.19640594509416887]
36.0	[1.9272718343988213, 0.11459851257037286]
54.0	[1.9034543826438424, 0.1517739496024789]
72.0	[1.9260809896160123, 0.12865487742583936]
90.0	[1.9175463832493786, 0.1799949930965884]
