-90.0	[1.9349485164020896, 0.20860132459545136]
-72.0	[1.97511078632605, 0.1766921604528177]
-54.0	[1.9855123329481348, 0.21616216955374276]
-36.0	[1.9169446316853855, 0.1044116609638979]
-18.0	[1.9708015887173758, 0.23627471417765802]
0.0	[1.958968550950987, 0.15661943680132237]
18.0	[1.9414419623684045, 0.15597037345154505]
36.0	[1.9591377342110181, 0.1591270722271911]
54.0	[1.9721204508626216, 0.21791203256132316]
72.0	[1.9263419812841374, 0.11941761510128875]
90.0	[1.9361549470021435, 0.19379083292958826]
